lat,lng,city
40.828305,111.712788,
30.061934667,109.97371317,0
37.596261777,110.7461995,110100
39.447886143,115.49377275,110200
38.797536523,116.68677516,120100
38.554096117,116.41078724,120200
37.231177741,112.7332098,130100
38.676134315,116.91991305,130200
39.964086851,119.28888697,130300
36.586566854,114.5816712,130400
36.901481873,114.76060073,130500
38.188473706,114.35083943,130600
39.491549807,112.35176567,130700
40.583735713,117.61504925,130800
37.721934264,115.48234384,130900
38.880248674,115.59361263,131000
36.014003397,111.03186491,131100
36.660858656,109.86094896,140100
35.686794814,103.41365546,140200
37.467192059,112.3072884,140300
35.229937568,109.23614544,140400
35.310504057,112.00660708,140500
39.425622082,112.70643878,140600
36.24434258,109.45372125,140700
34.814152676,109.59451664,140800
38.373228148,111.40942576,140900
33.873373224,104.4701047,141000
36.715675397,109.32580406,141100
40.118545037,112.12113798,150100
37.468687692,106.5836032,150200
38.308665529,109.20763926,150300
41.831798167,118.51710784,150400
43.132327362,120.88018363,150500
38.366336987,107.3329901,150600
48.179736868,120.37350522,150700
39.714809956,108.28588788,150800
40.405319704,112.64780885,150900
44.055796929,117.69031579,152200
42.661142,115.12210494,152500
39.403153964,104.55862861,152900
41.206528145,121.72243818,210100
39.097309074,121.58118433,210200
40.282274866,120.69139776,210300
40.263837888,119.30703881,210400
41.254049592,123.90888958,210500
39.881935636,123.54845587,210600
41.126466575,121.19254598,210700
40.523513407,122.25875228,210800
42.077250684,121.76884054,210900
41.111838123,122.84452641,211000
38.879215479,116.16990334,211100
42.262916877,123.70057788,211200
41.379325,119.81965409,211300
40.57875173,120.65843496,211400
43.423537464,124.29358589,220100
43.064344837,125.61469195,220200
43.332841391,124.20557398,220300
40.684550522,119.03788009,220400
41.007565375,124.33363098,220500
41.992315927,126.86786573,220600
44.212434977,123.84811525,220700
44.697634175,122.33219595,220800
42.906709736,128.26630492,222400
45.168478635,126.33081582,230100
46.949176195,123.10603949,230200
43.489542377,127.45525516,230300
46.796318333,129.6334103,230400
46.451385154,131.04878135,230500
45.86952388,124.5294858,230600
47.123161298,128.33498532,230700
46.464063088,129.54336679,230800
45.424592,130.04835069,230900
43.913490231,128.52143923,231000
48.3308956,126.45718748,231100
46.292978653,125.92764142,231200
48.954779,120.67333579,232700
31.391231835,120.52355414,310100
32.16153131,121.18366107,310200
32.398473,119.443994,320000
31.595007854,116.36435596,320100
31.646536932,119.69705268,320200
33.3476198,113.80953186,320300
31.726708731,118.8231368,320400
31.362664036,119.32216307,320500
31.805298223,118.15475819,320600
34.26215131,117.83821548,320700
32.552402419,116.04696316,320800
32.554482887,117.19223678,320900
32.261790649,117.975127,321000
31.909271435,118.46578816,321100
32.247863148,118.94740177,321200
33.582482383,116.94266661,321300
30.298016166,119.63051861,330100
29.480993183,118.06038357,330200
28.570648464,119.41757558,330300
30.921405455,120.70318468,330400
30.738824855,119.3739882,330500
29.676431747,118.17380923,330600
29.208313599,119.63180436,330700
29.185707638,118.59793168,330800
30.06222249,121.09489559,330900
28.67526319,120.33285894,331000
28.298662591,119.54253505,331100
31.810277246,115.53933012,340100
31.407982943,116.43728845,340200
33.271571425,117.52172378,340300
32.832907922,116.64678375,340400
31.624600588,115.75726302,340500
33.71331439,116.77238532,340600
31.07717914,117.09694819,340700
30.864232503,116.78062922,340800
30.30634311,117.73195337,341000
32.77404035,118.37646245,341100
33.02684006,115.63285985,341200
33.901694543,116.95365983,341300
31.855466988,116.5355232,341500
33.530459333,116.1409998,341600
30.291448333,114.43384457,341700
31.528565392,117.29444164,341800
26.618400593,118.46247739,350100
24.598031278,118.05671317,350200
26.36299029,118.3083787,350300
26.383593271,117.03366144,350400
25.418457977,117.57980408,350500
24.778679238,117.15848961,350600
27.244932022,117.49692604,350700
25.909859201,115.41693057,350800
26.829806985,118.22992481,350900
28.963403768,115.00452647,360100
29.470633754,117.04120982,360200
27.881580333,113.795396,360300
29.627341297,115.7391223,360400
28.437808842,114.89764863,360500
29.038972148,116.838924,360600
26.324269455,114.54445396,360700
27.407250955,115.07477911,360800
27.904538822,112.25170345,360900
28.009506427,116.37136455,361000
29.394479023,117.08396274,361100
36.00030898,115.10164785,370100
35.719426373,118.64151934,370200
36.247395809,116.39369655,370300
34.922991306,117.40713824,370400
34.883000744,113.16891115,370500
37.153140307,120.00258359,370600
35.585092335,115.9054426,370700
34.904697785,114.04868887,370800
35.914198806,116.03216853,370900
36.729676137,120.38844767,371000
35.251324397,117.42293777,371100
36.216797633,117.66780147,371200
35.144400104,117.70243889,371300
36.461128995,113.67906188,371400
35.018310289,111.72666028,371500
36.507955495,115.48875096,371600
34.893636814,114.18965808,371700
34.403210897,112.9202224,410100
34.443927899,113.0123562,410200
34.079946053,111.33175863,410300
33.591367673,111.78108097,410400
36.004812471,114.47908649,410500
35.891588969,114.36235425,410600
35.095763917,114.01328525,410700
35.093320618,113.19753528,410800
36.14454856,115.15092759,410900
34.445402738,113.89337391,411000
34.0469298,114.11951254,411100
33.864630093,109.34329621,411200
33.180100928,112.66660695,411300
33.556702605,114.08796542,411400
32.286288434,114.69219333,411500
33.775713423,113.81979883,411600
32.771959495,112.96719534,411700
32.339322029,111.944353,419000
30.412256412,112.49740357,420100
29.010975811,109.78074069,420200
32.714463957,110.48903709,420300
30.604810971,110.11520804,420500
31.19394672,109.10855719,420600
30.371410605,114.88266074,420700
31.040624164,112.54201668,420800
30.36224803,110.48104797,420900
29.740701232,111.18031705,421000
30.681726712,114.43195714,421100
28.755882247,110.00808186,421200
31.733499302,113.53196279,421300
30.188154141,107.71686991,422800
30.344941837,113.0332163,429000
27.771015791,110.00034789,430100
28.07512362,113.4126747,430200
27.719594742,111.95106523,430300
26.136508318,107.65776537,430400
27.275675296,111.23725326,430500
28.66710917,111.37809476,430600
29.020835846,109.96878155,430700
29.265449895,110.61998911,430800
27.315420455,106.25990888,430900
24.881487867,106.27315075,431000
26.088763512,108.32479881,431100
27.837003282,108.88784872,431200
26.826339416,108.4215034,431300
29.030521878,108.42816837,433100
24.395452658,113.06264235,440100
25.313123817,113.73735445,440200
22.152525609,108.42012713,440300
22.709592622,113.54128702,440400
23.745903372,110.90321138,440500
23.758876168,113.24217707,440600
22.658266776,112.96436472,440700
21.306952699,110.01500565,440800
21.78033028,108.8531761,440900
23.452271212,112.28285526,441200
23.594196612,111.49359392,441300
23.616588155,112.47262622,441400
24.248444231,115.52289377,441500
24.363951098,114.93730027,441600
22.393039,111.99837221,441700
24.477747449,113.0986227,441800
23.577839873,113.44747676,441900
23.578713493,113.56377054,442000
23.457755039,113.69385354,445100
23.3536885,111.29039797,445200
23.375520912,111.98797741,445300
23.252738392,105.72532844,450100
24.499796812,107.94939549,450200
25.555445012,110.5805438,450300
24.584206033,111.3807897,450400
21.544079,109.17826105,450500
21.793272909,108.21943309,450600
22.675091571,109.42619362,450700
24.06539105,110.14148035,450800
23.196167786,110.36418675,450900
23.1242576,103.4763446,451000
25.409929938,111.64330831,451100
25.372284969,108.90542459,451200
22.923646346,105.14097819,451300
23.791441926,107.96606981,451400
21.095747132,110.50764624,460100
20.1396664,109.9448559,460200
19.967160356,110.08039138,469000
29.917209417,107.10542492,500100
30.393148865,108.27320837,500200
30.217597529,102.26202521,510100
28.838205844,102.53073896,510300
26.905936941,102.21363235,510400
26.95394106,98.405629951,510500
29.335634318,98.291307243,510600
29.267531444,97.472744354,510700
30.045879082,99.221882311,510800
26.469458372,89.672786605,510900
28.949292239,102.52464976,511000
28.496434743,99.268204959,511100
29.648730707,100.08938656,511300
29.474163097,102.11939696,511400
27.632220028,99.838573056,511500
29.49706175,103.27197488,511600
29.686445444,102.09430457,511700
30.121056951,103.18631307,511800
31.072221435,107.74739326,511900
29.1325315,101.35464534,512000
30.989180852,99.12648463,513200
30.039624167,99.365261481,513300
27.679039235,100.64195636,513400
27.670927908,106.85384819,520100
26.778478351,105.91569924,520200
27.999847143,107.20672005,520300
25.819383816,103.47317495,520400
31.145593576,109.07693136,520500
28.441632571,108.9224055,520600
24.944642975,103.11634183,522300
27.061928825,108.70586468,522600
25.86053825,104.31040597,522700
25.601665522,101.02367847,530100
25.234546549,100.84771599,530300
24.867333648,101.350642,530400
24.6373141,96.548682625,530500
27.152630028,102.71974692,530600
26.38923893,98.555378698,530700
23.586374234,100.0664937,530800
25.017912342,100.6450735,530900
25.366930607,101.80621669,532300
23.946228494,100.97057036,532500
23.828593788,104.74692308,532600
22.049914273,96.867642792,532800
25.569016542,97.217723367,532900
24.358709235,98.247343088,533100
26.314164867,99.205492,533300
27.73510725,99.393316125,533400
23.795150815,74.56573237,540100
21.6917974,84.6304408,542100
22.411616938,72.053983813,542200
30.0696729,103.6191899,542300
31.683988,91.436309778,542400
26.900979,73.4621852,542500
26.348061333,83.861567444,542600
33.985417399,108.44461873,610100
34.595196709,107.67019515,610200
34.402513878,107.38170758,610300
34.349738825,108.27472165,610400
34.692621297,109.98295611,610500
36.094807338,108.90657451,610600
33.148916304,107.55558008,610700
37.936682351,110.05371215,610800
32.226073358,107.54744334,610900
33.785783514,110.09039968,611000
35.702060168,103.73538037,620100
39.78454584,98.28005852,620200
36.288252895,103.197658,620300
36.310725542,104.53154027,620400
34.470200117,105.9685662,620500
37.923713971,103.62247462,620600
38.48767359,101.03760041,620700
35.6542205,107.27044379,620800
39.387499095,98.783844262,620900
36.173839091,108.468143,621000
35.11443115,105.36004381,621100
34.165338973,105.58890989,621200
35.165473552,104.19399802,622900
34.402271742,103.19168145,623000
35.965888939,101.76164652,630100
35.795119142,103.94819341,632100
37.278908714,100.96961843,632200
35.4955018,101.9281953,632300
35.451447571,101.05042211,632500
34.557620667,100.96399656,632600
33.047344368,96.811695632,632700
36.6202674,96.4681396,632800
37.907750487,105.66508779,640100
38.828250586,106.71474083,640200
38.037486939,106.93831073,640300
36.220136414,106.91943966,640400
37.152897647,105.49626441,640500
41.037624163,89.161541102,650100
42.359273,91.7470842,650200
41.597551424,86.593451636,652100
41.409450808,92.902546654,652200
41.847071489,88.548584052,652300
43.376083,87.847940055,652700
39.122109866,92.252811423,652800
41.119598038,86.30762875,652900
39.678853333,76.157021417,653000
39.23479938,79.575690033,653100
35.921699091,79.265397386,653200
41.682220763,83.00747977,654000
43.564765717,83.80403775,654200
46.269777297,86.874051766,654300
40.798677741,84.478282348,659000
